Altium Designer Pick and Place Locations
C:\altium workspace\UAV-CAN-MODULES\RANGE-FINDER-NODE\RANGE-FINDER-NODE\Project Outputs for RANGE-FINDER-NODE\Pick Place\Pick Place for RANGE-FINDER-NODE-PCB.csv

========================================================================================================================
File Design Information:

Date:       03.09.21
Time:       12:30
Revision:   2446d07db1bba0abc34e231bd88578d5d17b33bb
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R3","RC0603FR-0710KL","TopLayer","J1-0603","20.3200","4.5720","180","10 kOhms 1 0.1 W 1 10 W Chip Resistor 0603 1608 Metric Thick Film"
"U5","VL53L0X","BottomLayer","SENSOR_VL53L0X","15.2540","15.4628","180","VL53L0X - Light, 3D Time-of-Flight _ToF_ Sensor Evaluation Board"
"Y1","CSTCE8M00G55-R0","TopLayer","*OSC_CSTCE8M00G55-R0","15.1406","12.0460","180","Ceramic Resonator 8MHz ??0.5% _Tol_ ??0.2% _Stability_ 33pF 40Ohm 3-Pin CSMD T/R"
"U4","SPX3819M5-L-3-3/TR","BottomLayer","*SOT95P280X145-5N","15.2540","11.3030","90","Low Dropout Voltage Regulator, Adjustable 0.5A, Â±1%, 2.5 to 16 Vin, 5-Pin SOT-23"
"U3","TJA1042","TopLayer","SOT782-1","15.2707","15.0290","0","1/1 Transceiver Half CANbus 8-SO"
"U2","STM32F042G6U6","BottomLayer","STM32F042G6U6_UFQFPN4x4","15.2540","20.4470","0","ARMA® CortexA®-M0 STM32F0 Microcontroller IC 32-Bit 48MHz 32KB _32K x 8_ FLASH 28-UFQFPN _4x4_"
"U1","LMR16030SDDAR","BottomLayer","*SOIC127P600X170-9N_-_duplicate","15.3122","5.2190","270","LMR16030SDDAR, Conv DC-DC 4.3V to 60V Step Down Single-Out 1V to 50V 3A Automotive 8-Pin HSOP EP T/R"
"SWD1","BM04B-GHS-TBT(LF)(SN)(N)","BottomLayer","JST_PAD","28.1940","15.2100","270","Conn Shrouded Header HDR 4 POS 1.25mm Solder ST SMD Reel"
"R17","RC0603FR-0710KL","TopLayer","J1-0603","9.4830","17.5000","180","10 kOhms 1 0.1 W 1 10 W Chip Resistor 0603 1608 Metric Thick Film"
"R16","RC0603FR-0710KL","TopLayer","J1-0603","9.4830","16.0667","180","10 kOhms 1 0.1 W 1 10 W Chip Resistor 0603 1608 Metric Thick Film"
