Altium Designer Pick and Place Locations
C:\altium workspace\UAV-CAN-MODULES\TankNode\Project Outputs for TankNode-PrjPCB\Pick Place\Pick Place for TankNode-PcbDoc.csv

========================================================================================================================
File Design Information:

Date:       10.02.22
Time:       10:39
Revision:   4b0dbe1cff32d1e8c9529ca49a24371210d49fdd
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"P1","Side Header 6","BottomLayer","6pin_1.5pitch","122.3985","77.1571","0","Header, 4-Pin"
"P2","Side Header 6","BottomLayer","6pin_1.5pitch","86.7110","123.6000","180","Header, 4-Pin"
"C9.1","GX035C104MAT2-500","TopLayer","*CAPC1608X90","112.3540","85.3960","90","Cap Thin Film 0.1uf 50v 0603"
"C9.2","GX035C104MAT2-500","TopLayer","*CAPC1608X90","112.3567","94.5993","90","Cap Thin Film 0.1uf 50v 0603"
"C9.3","GX035C104MAT2-500","TopLayer","*CAPC1608X90","112.3567","103.7993","90","Cap Thin Film 0.1uf 50v 0603"
"C9.4","GX035C104MAT2-500","TopLayer","*CAPC1608X90","112.3567","112.9693","90","Cap Thin Film 0.1uf 50v 0603"
"C9.5","GX035C104MAT2-500","TopLayer","*CAPC1608X90","112.3567","122.1993","90","Cap Thin Film 0.1uf 50v 0603"
"C9.6","GX035C104MAT2-500","TopLayer","*CAPC1608X90","96.1633","80.5508","270","Cap Thin Film 0.1uf 50v 0603"
"C9.7","GX035C104MAT2-500","TopLayer","*CAPC1608X90","96.1633","89.7807","270","Cap Thin Film 0.1uf 50v 0603"
"C9.8","GX035C104MAT2-500","TopLayer","*CAPC1608X90","96.1633","98.9508","270","Cap Thin Film 0.1uf 50v 0603"
"C9.9","GX035C104MAT2-500","TopLayer","*CAPC1608X90","96.1633","108.1508","270","Cap Thin Film 0.1uf 50v 0603"
"C9.10","GX035C104MAT2-500","TopLayer","*CAPC1608X90","96.1660","117.3840","270","Cap Thin Film 0.1uf 50v 0603"
"C10.1","GX035C104MAT2-500","TopLayer","*CAPC1608X90","115.3640","87.7860","180","Cap Thin Film 0.1uf 50v 0603"
"C10.2","GX035C104MAT2-500","TopLayer","*CAPC1608X90","115.3667","96.9893","180","Cap Thin Film 0.1uf 50v 0603"
"C10.3","GX035C104MAT2-500","TopLayer","*CAPC1608X90","115.3667","106.1893","180","Cap Thin Film 0.1uf 50v 0603"
"C10.4","GX035C104MAT2-500","TopLayer","*CAPC1608X90","115.3667","115.3593","180","Cap Thin Film 0.1uf 50v 0603"
