Altium Designer Pick and Place Locations
C:\Workspace\UAV-CAN-MODULES\WINGS_SIGNAL_NODE\Project Outputs for WINGS_SIGNAL_NODE_PRJ\Pick Place\Pick Place for WINGS_SIGNAL_NODE_PCB.csv

========================================================================================================================
File Design Information:

Date:       30/08/21
Time:       21:47
Revision:   93d36a263a7a3229fffa4feeac8668d0c0b3f614
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"CAN-AP1","SM04B-GHS-TB(LF)(SN)-","TopLayer","JST_SM04B-GHS-TB(LF)(SN)-","29.2500","12.3941","0","Connector Header Surface Mount, Right Angle 4 position 0.049 _1.25mm_"
"CAN2","502585-0670","TopLayer","MOLEX_502585-0670","49.9691","13.2500","0","1.50mm Pitch, CLIK-Mate PCB Receptacle, Single Row, Surface Mount, Right-Angle, Tin Plating, Positive Lock, 6 Circuits, Natural"
"R4","Res3","TopLayer","J1-0603","84.2000","16.3095","270","Resistor"
"R3","Res3","TopLayer","J1-0603","85.7920","16.3095","270","Resistor"
"D14","WS2812","BottomLayer","LED_WS2812","29.2500","6.0000","180","Addressable Lighting - 5 LED Discrete Serial _Shift Register_ Red, Green, Blue _RGB_ 5.00mm Dia"
"D7","WS2812","BottomLayer","LED_WS2812","29.2500","20.0000","180","Addressable Lighting - 5 LED Discrete Serial _Shift Register_ Red, Green, Blue _RGB_ 5.00mm Dia"
"C10","GX035C104MAT2-500","TopLayer","*CAPC1608X90","91.5000","19.9118","270","Cap Thin Film 0.1uf 50v 0603"
"C9","GX035C104MAT2-500","TopLayer","*CAPC1608X90","70.7500","19.9118","270","Cap Thin Film 0.1uf 50v 0603"
"C6","GX035C104MAT2-500","TopLayer","*CAPC1608X90","8.5000","19.9118","270","Cap Thin Film 0.1uf 50v 0603"
"C5","GX035C104MAT2-500","TopLayer","*CAPC1608X90","8.5000","33.9118","270","Cap Thin Film 0.1uf 50v 0603"
"C4","GX035C104MAT2-500","TopLayer","*CAPC1608X90","29.2500","33.9118","270","Cap Thin Film 0.1uf 50v 0603"
"C3","GX035C104MAT2-500","TopLayer","*CAPC1608X90","50.0000","33.9118","270","Cap Thin Film 0.1uf 50v 0603"
"D15","WS2812","BottomLayer","LED_WS2812","8.5000","6.0000","180","Addressable Lighting - 5 LED Discrete Serial _Shift Register_ Red, Green, Blue _RGB_ 5.00mm Dia"
"D13","WS2812","BottomLayer","LED_WS2812","50.0000","6.0000","180","Addressable Lighting - 5 LED Discrete Serial _Shift Register_ Red, Green, Blue _RGB_ 5.00mm Dia"
"D12","WS2812","BottomLayer","LED_WS2812","70.7500","6.0000","180","Addressable Lighting - 5 LED Discrete Serial _Shift Register_ Red, Green, Blue _RGB_ 5.00mm Dia"
"D11","WS2812","BottomLayer","LED_WS2812","91.5000","6.0000","180","Addressable Lighting - 5 LED Discrete Serial _Shift Register_ Red, Green, Blue _RGB_ 5.00mm Dia"
"D10","WS2812","BottomLayer","LED_WS2812","91.5000","20.0000","180","Addressable Lighting - 5 LED Discrete Serial _Shift Register_ Red, Green, Blue _RGB_ 5.00mm Dia"
"D9","WS2812","BottomLayer","LED_WS2812","70.7500","20.0000","180","Addressable Lighting - 5 LED Discrete Serial _Shift Register_ Red, Green, Blue _RGB_ 5.00mm Dia"
"D8","WS2812","BottomLayer","LED_WS2812","50.0000","20.0000","180","Addressable Lighting - 5 LED Discrete Serial _Shift Register_ Red, Green, Blue _RGB_ 5.00mm Dia"
"D6","WS2812","BottomLayer","LED_WS2812","8.5000","20.0000","180","Addressable Lighting - 5 LED Discrete Serial _Shift Register_ Red, Green, Blue _RGB_ 5.00mm Dia"
"D5","WS2812","BottomLayer","LED_WS2812","8.5000","34.0000","180","Addressable Lighting - 5 LED Discrete Serial _Shift Register_ Red, Green, Blue _RGB_ 5.00mm Dia"
"D4","WS2812","BottomLayer","LED_WS2812","29.2500","34.0000","180","Addressable Lighting - 5 LED Discrete Serial _Shift Register_ Red, Green, Blue _RGB_ 5.00mm Dia"
"D3","WS2812","BottomLayer","LED_WS2812","50.0000","34.0000","180","Addressable Lighting - 5 LED Discrete Serial _Shift Register_ Red, Green, Blue _RGB_ 5.00mm Dia"
"D2","WS2812","BottomLayer","LED_WS2812","70.7500","34.0000","180","Addressable Lighting - 5 LED Discrete Serial _Shift Register_ Red, Green, Blue _RGB_ 5.00mm Dia"
"D1","WS2812","BottomLayer","LED_WS2812","91.5000","34.0000","180","Addressable Lighting - 5 LED Discrete Serial _Shift Register_ Red, Green, Blue _RGB_ 5.00mm Dia"
"C15","GX035C104MAT2-500","TopLayer","*CAPC1608X90","8.5000","5.9118","270","Cap Thin Film 0.1uf 50v 0603"
"C14","GX035C104MAT2-500","TopLayer","*CAPC1608X90","29.2500","5.9118","270","Cap Thin Film 0.1uf 50v 0603"
"C13","GX035C104MAT2-500","TopLayer","*CAPC1608X90","50.0000","5.9118","270","Cap Thin Film 0.1uf 50v 0603"
"C12","GX035C104MAT2-500","TopLayer","*CAPC1608X90","70.7500","5.9118","270","Cap Thin Film 0.1uf 50v 0603"
"C11","GX035C104MAT2-500","TopLayer","*CAPC1608X90","91.5000","5.9118","270","Cap Thin Film 0.1uf 50v 0603"
"C8","GX035C104MAT2-500","TopLayer","*CAPC1608X90","50.0000","19.9118","270","Cap Thin Film 0.1uf 50v 0603"
"C7","GX035C104MAT2-500","TopLayer","*CAPC1608X90","29.2500","19.9118","270","Cap Thin Film 0.1uf 50v 0603"
"C2","GX035C104MAT2-500","TopLayer","*CAPC1608X90","70.6000","32.2000","90","Cap Thin Film 0.1uf 50v 0603"
"C1","GX035C104MAT2-500","TopLayer","*CAPC1608X90","91.5000","33.9118","270","Cap Thin Film 0.1uf 50v 0603"
"R15","RC0603FR-0710KL","TopLayer","J1-0603","89.4121","23.3595","180","10 kOhms 1 0.1 W 1 10 W Chip Resistor 0603 1608 Metric Thick Film"
"R12","Res3","TopLayer","J1-0603","84.2000","35.8000","270","120 Ohms 1 0.1 W 1 10 W Chip Resistor 0603 1608 Metric Thick Film"
"R5","Res3","TopLayer","J1-0603","89.7121","28.1095","90","Resistor"
"C22","GRM188R71C105KA12D","TopLayer","CAPC1608X90N","72.7000","28.6000","0","SMD Capacitor X7R(EIA) with Capacitance: 1.0uF Tol. 10%. Rated Voltage: 16Vdc"
"R6","Res3","TopLayer","J1-0603","72.7000","30.2000","180","Resistor"
"R13","Res3","TopLayer","J1-0603","72.7121","33.9095","0","Resistor"
"R7","RC0603FR-0710KL","TopLayer","J1-0603","72.7121","32.4095","0","10 kOhms 1 0.1 W 1 10 W Chip Resistor 0603 1608 Metric Thick Film"
"Y1","CSTCE8M00G55-R0","TopLayer","*OSC_CSTCE8M00G55-R0","89.4121","20.5595","90","Ceramic Resonator 8MHz ??0.5% _Tol_ ??0.2% _Stability_ 33pF 40Ohm 3-Pin CSMD T/R"
"U3","SPX3819M5-L-3-3/TR","TopLayer","*SOT95P280X145-5N","86.6121","12.7596","0","Low Dropout Voltage Regulator, Adjustable 0.5A, ?±1%, 2.5 to 16 Vin, 5-Pin SOT-23"
"D17","SK56","TopLayer","*SMB_P6SMB62AT3G(Primary)","72.6121","23.0595","90","???? ?????? 5? 60? [SMB / DO-214AA]"
"CAN1","502585-0670","BottomLayer","MOLEX_502585-0670","81.1121","35.6095","0","1.50mm Pitch, CLIK-Mate PCB Receptacle, Single Row, Surface Mount, Right-Angle, Tin Plating, Positive Lock, 6 Circuits, Natural"
"R14","RC0603FR-0710KL","TopLayer","J1-0603","89.1121","16.3595","180","10 kOhms 1 0.1 W 1 10 W Chip Resistor 0603 1608 Metric Thick Film"
"SWD1","BM04B-GHS-TBT(LF)(SN)(N)","BottomLayer","JST_BM04B-GHS-holes","78.7871","16.5595","0","Conn Shrouded Header HDR 4 POS 1.25mm Solder ST SMD Reel"
"D16","0603-LED-BLUE","TopLayer","*LEDM1608X80_LTE-C1906R-14(Primary)","88.1871","28.2595","90","LED IrLED Chip LED 2-Pin SMD T/R"
"C18","GRM31CR61A476KE15L","TopLayer","*CAPC3216X125N","73.5121","18.1595","0","Multilayer Ceramic Capacitor, GRM Series, 47 - F, - 10%, X5R, 10 V, 1206 [3216 Metric]"
"C20","GRM31CR61A476KE15L","TopLayer","*CAPC3216X125N","73.5121","15.6595","0","Multilayer Ceramic Capacitor, GRM Series, 47 - F, - 10%, X5R, 10 V, 1206 [3216 Metric]"
"C19","GRM31CR71H225KA88L","TopLayer","*CAP3216X125N","77.0000","36.3000","180","1206 2.2 uF 50 V ?±10% Tolerance X7R SMT Multilayer Ceramic Capacitor"
"C24","GX035C104MAT2-500","TopLayer","*CAPC1608X90","80.0121","28.6595","90","Cap Thin Film 0.1uf 50v 0603"
"C25","GX035C104MAT2-500","TopLayer","*CAPC1608X90","89.1121","17.7595","0","Cap Thin Film 0.1uf 50v 0603"
"C27","GX035C104MAT2-500","TopLayer","*CAPC1608X90","82.7121","16.4595","90","Cap Thin Film 0.1uf 50v 0603"
"C28","GX035C104MAT2-500","TopLayer","*CAPC1608X90","81.0121","26.0595","0","Cap Thin Film 0.1uf 50v 0603"
"C29","GX035C104MAT2-500","TopLayer","*CAPC1608X90","89.3121","24.8595","0","Cap Thin Film 0.1uf 50v 0603"
"C23","GX035C104MAT2-500","TopLayer","*CAPC1608X90","83.5591","12.7595","90","Cap Thin Film 0.1uf 50v 0603"
"C26","GX035C104MAT2-500","TopLayer","*CAPC1608X90","89.8121","12.7595","270","Cap Thin Film 0.1uf 50v 0603"
"C16","GX035C104MAT2-500","TopLayer","*CAPC1608X90","87.7121","32.0595","180","Cap Thin Film 0.1uf 50v 0603"
"U2","LMR16030SDDAR","TopLayer","*SOIC127P600X170-9N_-_duplicate","76.6121","30.8095","270","LMR16030SDDAR, Conv DC-DC 4.3V to 60V Step Down Single-Out 1V to 50V 3A Automotive 8-Pin HSOP EP T/R"
"C17","GRM31CR71H225KA88L","TopLayer","*CAP3216X125N","81.3000","33.2000","0","1206 2.2 uF 50 V ?±10% Tolerance X7R SMT Multilayer Ceramic Capacitor"
"DD1","STM32F103T8","TopLayer","*QFN50P600X600X100-37N","83.7121","21.8595","180","STM32F103T8U6, ??????????????? 32BIT ARM 64K FLASH [VFQFPN-36]"
"L1","IHLP2020BZER100M01","TopLayer","IHLP","77.2121","23.0595","90","10ÂµH Shielded Molded Inductor 2.3A 199mOhm Max Nonstandard"
"C21","GX035C104MAT2-500","TopLayer","*CAPC1608X90","81.8000","35.8000","270","Cap Thin Film 0.1uf 50v 0603"
"U1","TJA1042","TopLayer","SOT782-1","87.6371","34.6220","0","1/1 Transceiver Half CANbus 8-SO"
"R8","Res3","TopLayer","J1-0603","80.5121","31.3595","180","Resistor"
"R9","Res3","TopLayer","J1-0603","83.3121","31.3595","180","Resistor"
"R10","RC0603FR-0710KL","TopLayer","J1-0603","83.6121","29.8595","180","10 kOhms 1 0.1 W 1 10 W Chip Resistor 0603 1608 Metric Thick Film"
"R11","RC0603FR-0710KL","TopLayer","J1-0603","83.6121","28.3595","0","10 kOhms 1 0.1 W 1 10 W Chip Resistor 0603 1608 Metric Thick Film"
